Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
60,0.069,0.897,0.434,0.742,1.000,39.836,40.666,39.151,39.591,1.200,1.600,40.210,39.367,1.400,40.210,39.367,1.400,0.543,0.408,0.199,-18.243,2.812E-26,90.000,1.331,2.727,2.049,40.422,39.249,1.200,0.081
61,0.072,0.868,0.439,0.888,0.500,12.953,13.490,41.155,41.595,1.200,1.600,13.199,41.387,1.400,13.199,41.387,1.400,0.408,0.339,0.281,85.363,-90.000,167.171,1.205,1.454,1.206,13.050,41.253,1.200,0.081
62,0.101,1.232,0.402,0.620,1.000,9.776,10.313,23.168,23.608,1.600,2.400,10.059,23.406,2.034,10.059,23.406,2.034,0.612,0.313,0.268,-38.892,-77.620,146.403,1.952,2.286,1.171,9.824,23.364,1.600,0.081
63,0.206,2.161,1.013,0.478,-2.500,4.741,5.670,26.443,27.372,1.600,2.000,5.198,26.958,1.800,5.198,26.958,1.800,0.634,0.408,0.390,-43.079,-1.338E-26,90.000,1.552,1.627,1.048,5.474,26.590,1.600,0.081
64,1.136,10.359,2.902,0.131,-3.000,45.457,48.145,29.669,31.917,1.600,3.200,47.187,30.899,2.311,47.187,30.899,2.311,1.917,0.862,0.559,-41.933,-12.742,112.758,2.224,3.431,1.542,47.509,30.842,2.000,0.130
65,0.409,4.367,1.659,0.227,-1.500,18.134,19.356,36.756,38.760,1.600,2.400,18.777,37.961,2.024,18.777,37.961,2.024,1.087,0.645,0.371,-58.933,-7.253,119.083,1.684,2.932,1.741,19.209,37.343,1.600,0.081
66,1.217,9.994,1.648,0.168,0.000,37.783,40.373,38.956,40.129,1.600,3.600,38.960,39.575,2.934,38.960,39.575,2.934,1.442,0.983,0.423,-14.042,23.401,-71.799,1.466,3.405,2.323,38.369,39.689,2.800,0.130
67,4.665,27.595,4.274,0.117,1.500,32.113,34.410,29.131,34.997,2,4.800,33.428,32.357,3.797,33.428,32.357,3.797,3.626,1.384,0.849,-83.621,-5.001,80.851,2.620,4.273,1.631,33.481,33.481,4.000,0.196
68,0.354,3.930,1.168,0.233,1.000,36.267,37.441,40.569,41.595,2,4.000,36.906,41.006,3.139,36.906,41.006,3.139,1.327,0.516,0.363,-22.688,64.560,46.836,2.570,3.650,1.420,37.098,40.862,2.400,0.130
69,0.118,1.383,0.563,0.591,1.000,27.323,28.203,10.900,11.389,2.400,3.200,27.829,11.117,2.841,27.829,11.117,2.841,0.700,0.378,0.267,3.191,-52.370,72.510,1.850,2.624,1.419,27.763,10.998,2.400,0.081
