
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
16881,,Surface,1,Image 1,1,Class A,1166,
15021,,Surface,1,Image 1,1,Class A,1167,
39237,,Surface,1,Image 1,1,Class A,1168,
14248,,Surface,1,Image 1,1,Class A,1169,
20004,,Surface,1,Image 1,1,Class A,1170,
18948,,Surface,1,Image 1,1,Class A,1171,
29762,,Surface,1,Image 1,1,Class A,1172,
8882,,Surface,1,Image 1,1,Class A,1173,
19466,,Surface,1,Image 1,1,Class A,1174,
12139,,Surface,1,Image 1,1,Class A,1175,
15751,,Surface,1,Image 1,1,Class A,1176,
22206,,Surface,1,Image 1,1,Class A,1177,
14149,,Surface,1,Image 1,1,Class A,1178,
23546,,Surface,1,Image 1,1,Class A,1179,
17580,,Surface,1,Image 1,1,Class A,1180,
21163,,Surface,1,Image 1,1,Class A,1181,
13502,,Surface,1,Image 1,1,Class A,1182,
25230,,Surface,1,Image 1,1,Class A,1183,
18146,,Surface,1,Image 1,1,Class A,1184,
17005,,Surface,1,Image 1,1,Class A,1185,
13326,,Surface,1,Image 1,1,Class A,1186,
10409,,Surface,1,Image 1,1,Class A,1187,
17993,,Surface,1,Image 1,1,Class A,1188,
26394,,Surface,1,Image 1,1,Class A,1189,
17091,,Surface,1,Image 1,1,Class A,1190,
16756,,Surface,1,Image 1,1,Class A,1191,
13374,,Surface,1,Image 1,1,Class A,1192,
14452,,Surface,1,Image 1,1,Class A,1193,
17177,,Surface,1,Image 1,1,Class A,1194,
22449,,Surface,1,Image 1,1,Class A,1195,
22925,,Surface,1,Image 1,1,Class A,1196,
11532,,Surface,1,Image 1,1,Class A,1197,
22219,,Surface,1,Image 1,1,Class A,1198,
24956,,Surface,1,Image 1,1,Class A,1199,
48116,,Surface,1,Image 1,1,Class A,1200,
12797,,Surface,1,Image 1,1,Class A,1201,
12964,,Surface,1,Image 1,1,Class A,1202,
25482,,Surface,1,Image 1,1,Class A,1203,
23457,,Surface,1,Image 1,1,Class A,1204,
13373,,Surface,1,Image 1,1,Class A,1205,
13502,,Surface,1,Image 1,1,Class A,1206,
21500,,Surface,1,Image 1,1,Class A,1207,
14680,,Surface,1,Image 1,1,Class A,1208,
19492,,Surface,1,Image 1,1,Class A,1209,
20680,,Surface,1,Image 1,1,Class A,1210,
13705,,Surface,1,Image 1,1,Class A,1211,
27481,,Surface,1,Image 1,1,Class A,1212,
12155,,Surface,1,Image 1,1,Class A,1213,
30116,,Surface,1,Image 1,1,Class A,1214,
13140,,Surface,1,Image 1,1,Class A,1215,
35811,,Surface,1,Image 1,1,Class A,1216,
23725,,Surface,1,Image 1,1,Class A,1217,
26983,,Surface,1,Image 1,1,Class A,1218,
12023,,Surface,1,Image 1,1,Class A,1219,
10950,,Surface,1,Image 1,1,Class A,1220,
25931,,Surface,1,Image 1,1,Class A,1221,
11014,,Surface,1,Image 1,1,Class A,1222,
20956,,Surface,1,Image 1,1,Class A,1223,
20481,,Surface,1,Image 1,1,Class A,1224,
19826,,Surface,1,Image 1,1,Class A,1225,
22918,,Surface,1,Image 1,1,Class A,1226,
24217,,Surface,1,Image 1,1,Class A,1227,
11931,,Surface,1,Image 1,1,Class A,1228,
21415,,Surface,1,Image 1,1,Class A,1229,
9821,,Surface,1,Image 1,1,Class A,1230,
50344,,Surface,1,Image 1,1,Class A,1231,
31549,,Surface,1,Image 1,1,Class A,1232,
10673,,Surface,1,Image 1,1,Class A,1233,
12558,,Surface,1,Image 1,1,Class A,1234,
26353,,Surface,1,Image 1,1,Class A,1235,
25640,,Surface,1,Image 1,1,Class A,1236,
24879,,Surface,1,Image 1,1,Class A,1237,
44725,,Surface,1,Image 1,1,Class A,1238,
26561,,Surface,1,Image 1,1,Class A,1239,
17071,,Surface,1,Image 1,1,Class A,1240,
33378,,Surface,1,Image 1,1,Class A,1241,
43660,,Surface,1,Image 1,1,Class A,1242,
16483,,Surface,1,Image 1,1,Class A,1243,
16773,,Surface,1,Image 1,1,Class A,1244,
10550,,Surface,1,Image 1,1,Class A,1245,
32145,,Surface,1,Image 1,1,Class A,1246,
28297,,Surface,1,Image 1,1,Class A,1247,
22764,,Surface,1,Image 1,1,Class A,1248,
29114,,Surface,1,Image 1,1,Class A,1249,
43380,,Surface,1,Image 1,1,Class A,1250,
15566,,Surface,1,Image 1,1,Class A,1251,
19534,,Surface,1,Image 1,1,Class A,1252,
13453,,Surface,1,Image 1,1,Class A,1253,
30367,,Surface,1,Image 1,1,Class A,1254,
18289,,Surface,1,Image 1,1,Class A,1255,
12216,,Surface,1,Image 1,1,Class A,1256,
17015,,Surface,1,Image 1,1,Class A,1257,
26172,,Surface,1,Image 1,1,Class A,1258,
13175,,Surface,1,Image 1,1,Class A,1259,
42679,,Surface,1,Image 1,1,Class B,1260,
31608,,Surface,1,Image 1,1,Class A,1261,
16304,,Surface,1,Image 1,1,Class A,1262,
20071,,Surface,1,Image 1,1,Class A,1263,
16348,,Surface,1,Image 1,1,Class A,1264,
30656,,Surface,1,Image 1,1,Class A,1265,
15547,,Surface,1,Image 1,1,Class A,1266,
17198,,Surface,1,Image 1,1,Class A,1267,
12720,,Surface,1,Image 1,1,Class A,1268,
10201,,Surface,1,Image 1,1,Class A,1269,
13334,,Surface,1,Image 1,1,Class A,1270,
44868,,Surface,1,Image 1,1,Class A,1271,
17928,,Surface,1,Image 1,1,Class A,1272,
25536,,Surface,1,Image 1,1,Class A,1273,
17952,,Surface,1,Image 1,1,Class A,1274,
14402,,Surface,1,Image 1,1,Class A,1275,
9921,,Surface,1,Image 1,1,Class A,1276,
18008,,Surface,1,Image 1,1,Class A,1277,
12491,,Surface,1,Image 1,1,Class A,1278,
18560,,Surface,1,Image 1,1,Class A,1279,
20149,,Surface,1,Image 1,1,Class A,1280,
14657,,Surface,1,Image 1,1,Class A,1281,
16085,,Surface,1,Image 1,1,Class A,1282,
12398,,Surface,1,Image 1,1,Class A,1283,
16895,,Surface,1,Image 1,1,Class A,1284,
25093,,Surface,1,Image 1,1,Class A,1285,
26397,,Surface,1,Image 1,1,Class A,1286,
35803,,Surface,1,Image 1,1,Class A,1287,
13015,,Surface,1,Image 1,1,Class A,1288,
21993,,Surface,1,Image 1,1,Class A,1289,
26686,,Surface,1,Image 1,1,Class A,1290,
27175,,Surface,1,Image 1,1,Class A,1291,
18028,,Surface,1,Image 1,1,Class A,1292,
19414,,Surface,1,Image 1,1,Class A,1293,
26353,,Surface,1,Image 1,1,Class A,1294,
19564,,Surface,1,Image 1,1,Class A,1295,
14505,,Surface,1,Image 1,1,Class A,1296,
13651,,Surface,1,Image 1,1,Class A,1297,
22021,,Surface,1,Image 1,1,Class A,1298,
25889,,Surface,1,Image 1,1,Class A,1299,
32707,,Surface,1,Image 1,1,Class A,1300,
11544,,Surface,1,Image 1,1,Class A,1301,
42556,,Surface,1,Image 1,1,Class A,1302,
15734,,Surface,1,Image 1,1,Class A,1303,
13742,,Surface,1,Image 1,1,Class A,1304,
53063,,Surface,1,Image 1,1,Class A,1305,
24553,,Surface,1,Image 1,1,Class A,1306,
18715,,Surface,1,Image 1,1,Class A,1307,
26405,,Surface,1,Image 1,1,Class A,1308,
16649,,Surface,1,Image 1,1,Class A,1309,
22437,,Surface,1,Image 1,1,Class A,1310,
15589,,Surface,1,Image 1,1,Class A,1311,
29512,,Surface,1,Image 1,1,Class A,1312,
11413,,Surface,1,Image 1,1,Class A,1313,
24042,,Surface,1,Image 1,1,Class A,1314,
37814,,Surface,1,Image 1,1,Class A,1315,
9453,,Surface,1,Image 1,1,Class A,1316,
21899,,Surface,1,Image 1,1,Class A,1317,
33582,,Surface,1,Image 1,1,Class A,1318,
15106,,Surface,1,Image 1,1,Class A,1319,
21644,,Surface,1,Image 1,1,Class A,1320,
32823,,Surface,1,Image 1,1,Class A,1321,
55712,,Surface,1,Image 1,1,Class A,1322,
17987,,Surface,1,Image 1,1,Class A,1323,
21595,,Surface,1,Image 1,1,Class A,1324,
53317,,Surface,1,Image 1,1,Class A,1325,
42838,,Surface,1,Image 1,1,Class B,1326,
23672,,Surface,1,Image 1,1,Class A,1327,
34701,,Surface,1,Image 1,1,Class A,1328,
17185,,Surface,1,Image 1,1,Class A,1329,
13487,,Surface,1,Image 1,1,Class A,1330,
41858,,Surface,1,Image 1,1,Class A,1331,
15527,,Surface,1,Image 1,1,Class A,1332,
23708,,Surface,1,Image 1,1,Class A,1333,
20075,,Surface,1,Image 1,1,Class A,1334,
18320,,Surface,1,Image 1,1,Class A,1335,
20571,,Surface,1,Image 1,1,Class A,1336,
