
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,Set 1,ID,
7518,,Surface,1,Image 1,1,Class A,273,
4859,,Surface,1,Image 1,1,Class A,274,
7039,,Surface,1,Image 1,1,Class A,275,
3415,,Surface,1,Image 1,1,Class A,276,
7282,,Surface,1,Image 1,1,Class A,277,
7158,,Surface,1,Image 1,1,Class A,278,
0,,Surface,1,Image 1,1,Class B,279,
1864,,Surface,1,Image 1,1,Class A,280,
1032,,Surface,1,Image 1,1,Class A,281,
1202,,Surface,1,Image 1,1,Class A,282,
2684,,Surface,1,Image 1,1,Class A,283,
6135,,Surface,1,Image 1,1,Class A,284,
3464,,Surface,1,Image 1,1,Class A,285,
7948,,Surface,1,Image 1,1,Class A,286,
6165,,Surface,1,Image 1,1,Class A,287,
0,,Surface,1,Image 1,1,Class B,288,
6356,,Surface,1,Image 1,1,Class A,289,
6548,,Surface,1,Image 1,1,Class A,290,
2962,,Surface,1,Image 1,1,Class A,291,
