
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,Set 1,ID,
0.81253,,Surface,1,Class A,1303,
0.823804,,Surface,1,Class A,1304,
0.959422,,Surface,1,Class A,1305,
0.968096,,Surface,1,Class A,1306,
0.859212,,Surface,1,Class A,1307,
0.842034,,Surface,1,Class A,1308,
0.801942,,Surface,1,Class A,1309,
0.976384,,Surface,1,Class A,1310,
0.948606,,Surface,1,Class A,1311,
0.932264,,Surface,1,Class A,1312,
0.862477,,Surface,1,Class A,1313,
0.676343,,Surface,1,Class A,1314,
0.964039,,Surface,1,Class A,1315,
0.779963,,Surface,1,Class A,1316,
0.738206,,Surface,1,Class A,1317,
0.975233,,Surface,1,Class A,1318,
0.950245,,Surface,1,Class A,1319,
0.974779,,Surface,1,Class A,1320,
0.961716,,Surface,1,Class A,1321,
0.954133,,Surface,1,Class A,1322,
0.699931,,Surface,1,Class A,1323,
0.964112,,Surface,1,Class A,1324,
0.551744,,Surface,1,Class A,1325,
0.240618,,Surface,1,Class B,1326,
0.937008,,Surface,1,Class A,1327,
0.700443,,Surface,1,Class A,1328,
0.944296,,Surface,1,Class A,1329,
0.857133,,Surface,1,Class A,1330,
0.41566,,Surface,1,Class A,1331,
0.773115,,Surface,1,Class A,1332,
0.754123,,Surface,1,Class A,1333,
0.951092,,Surface,1,Class A,1334,
0.876654,,Surface,1,Class A,1335,
0.812587,,Surface,1,Class A,1336,
0.96454,,Surface,1,Class A,1337,
0.805527,,Surface,1,Class A,1338,
0.340167,,Surface,1,Class A,1339,
0.910406,,Surface,1,Class A,1340,
0.945378,,Surface,1,Class A,1341,
0.829633,,Surface,1,Class A,1342,
0.963091,,Surface,1,Class A,1343,
0.849399,,Surface,1,Class A,1344,
0.957467,,Surface,1,Class A,1345,
0.931314,,Surface,1,Class A,1346,
0.96272,,Surface,1,Class A,1347,
0.957361,,Surface,1,Class A,1348,
0.827823,,Surface,1,Class A,1349,
0.948072,,Surface,1,Class A,1350,
0.959177,,Surface,1,Class A,1351,
0.766099,,Surface,1,Class A,1352,
0.633355,,Surface,1,Class A,1354,
0.873383,,Surface,1,Class A,1355,
0.778306,,Surface,1,Class A,1356,
0.801735,,Surface,1,Class A,1357,
0.921817,,Surface,1,Class A,1358,
0.676518,,Surface,1,Class A,1359,
0.567556,,Surface,1,Class A,1360,
0.96423,,Surface,1,Class A,1361,
0.308563,,Surface,1,Class B,1362,
0.918596,,Surface,1,Class A,1363,
0.959331,,Surface,1,Class A,1365,
0.953102,,Surface,1,Class A,1366,
0.947484,,Surface,1,Class A,1367,
0.756118,,Surface,1,Class A,1368,
0.714035,,Surface,1,Class A,1369,
0.711227,,Surface,1,Class A,1370,
0.910753,,Surface,1,Class A,1371,
0.958204,,Surface,1,Class A,1372,
0.662062,,Surface,1,Class A,1373,
0.862665,,Surface,1,Class A,1374,
0.742261,,Surface,1,Class A,1376,
0.921807,,Surface,1,Class A,1378,
0.634047,,Surface,1,Class A,1379,
0.287678,,Surface,1,Class B,1380,
0.669141,,Surface,1,Class A,1381,
0.678598,,Surface,1,Class A,1382,
0.886483,,Surface,1,Class A,1383,
0.941236,,Surface,1,Class A,1384,
0.375366,,Surface,1,Class A,1385,
0.905046,,Surface,1,Class A,1386,
0.840912,,Surface,1,Class A,1387,
0.652368,,Surface,1,Class A,1388,
0.839573,,Surface,1,Class A,1389,
0.662611,,Surface,1,Class A,1390,
0.868334,,Surface,1,Class A,1391,
0.513394,,Surface,1,Class A,1392,
0.935872,,Surface,1,Class A,1393,
0.957075,,Surface,1,Class A,1394,
0.406628,,Surface,1,Class A,1395,
0.714787,,Surface,1,Class A,1396,
