 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
44,0.991,255.000,255,255,5.440,1.596,0.791,61.607,0.421,2.019,0.495,0.679,660,305
45,0.391,255.000,255,255,2.415,0.861,0.578,25.448,0.842,1.491,0.671,0.911,608,307
46,0.592,255.000,255,255,3.512,1.459,0.516,57.943,0.603,2.828,0.354,0.869,836,307
47,2.898,255.000,255,255,14.646,3.299,1.119,30.905,0.170,2.949,0.339,0.465,725,310
48,0.217,255.000,255,255,1.728,0.610,0.453,80.230,0.914,1.345,0.743,0.920,359,321
49,0.718,254.358,0,255,4.118,1.497,0.611,158.368,0.532,2.451,0.408,0.857,475,324
50,1.730,255.000,255,255,9.508,2.234,0.986,177.004,0.240,2.266,0.441,0.518,414,329
51,1.755,255.000,255,255,8.881,2.971,0.752,28.676,0.280,3.950,0.253,0.680,184,331
52,1.342,233.693,0,255,5.064,1.560,1.096,9.944,0.658,1.423,0.703,0.843,236,333
53,1.545,255.000,255,255,8.831,1.970,0.999,25.761,0.249,1.973,0.507,0.608,201,336
54,0.217,255.000,255,255,1.728,0.567,0.488,12.479,0.914,1.161,0.861,0.934,287,337
55,6.025,255.000,255,255,29.514,3.943,1.945,43.242,0.087,2.027,0.493,0.358,336,339
56,0.349,255.000,255,255,2.801,1.243,0.358,149.176,0.559,3.478,0.288,0.832,746,341
57,0.239,255.000,255,255,1.813,0.646,0.471,47.063,0.913,1.371,0.729,0.933,540,347
58,1.475,255.000,255,255,7.759,2.270,0.827,11.583,0.308,2.744,0.364,0.649,594,349
59,0.516,255.000,255,255,3.357,1.172,0.560,48.991,0.575,2.092,0.478,0.811,623,351
60,0.883,255.000,255,255,4.097,1.214,0.926,20.400,0.661,1.311,0.763,0.840,368,356
61,0.242,255.000,255,255,1.788,0.571,0.541,94.015,0.953,1.056,0.947,0.931,809,359
62,0.286,255.000,255,255,2.139,0.865,0.421,61.607,0.785,2.056,0.486,0.913,277,366
63,0.347,255.000,255,255,2.535,0.837,0.528,124.367,0.679,1.585,0.631,0.835,248,368
64,0.367,255.000,255,255,2.554,1.095,0.427,173.985,0.708,2.564,0.390,0.912,79,378
65,0.223,255.000,255,255,1.728,0.649,0.437,26.406,0.936,1.484,0.674,0.943,349,380
